task_id,t1,t2,t3,t4,t5,response_ms,db_time_ms,non_db_time_ms,deadline_hit,in_burst
1,0,5.7110050926698,5.7110050926698,25.17930181417951,25.17930181417951,25.17930181417951,19.46829672150971,5.711005092669801,True,False
2,500,504.6579004146685,504.6579004146685,526.9647373560067,526.9647373560067,26.964737356006708,22.306836941338133,4.657900414668575,True,False
3,1000,1004.6655171889364,1004.6655171889364,1030.6646347273977,1030.6646347273977,30.664634727397697,25.999117538461253,4.665517188936445,True,False
4,1500,1505.3822528905828,1505.3822528905828,1531.6357271177087,1531.6357271177087,31.63572711770871,26.253474227125928,5.382252890582784,True,False
5,2000,2004.179952173068,2004.179952173068,2022.8263841109028,2022.8263841109028,22.826384110902836,18.646431937834805,4.179952173068031,True,False
6,2500,2505.1104412750446,2505.1104412750446,2528.3095811425424,2528.3095811425424,28.309581142542356,23.199139867497614,5.110441275044742,True,False
7,3000,3004.5372120428497,3004.5372120428497,3035.013521361483,3035.013521361483,35.01352136148307,30.476309318633618,4.537212042849454,True,False
8,3500,3505.2804148587275,3505.2804148587275,3522.6909716488453,3522.6909716488453,22.690971648845334,17.41055679011773,5.280414858727603,True,False
9,4000,4005.305405889094,4005.305405889094,4039.933300867809,4039.933300867809,39.933300867809066,34.62789497871526,5.305405889093805,True,False
10,4500,4504.533560545252,4504.533560545252,4530.480279565653,4530.480279565653,30.48027956565329,25.94671902040179,4.5335605452515,True,False
11,5000,5005.495166269853,5005.495166269853,5016.382540644107,5016.382540644107,16.382540644107394,10.887374374254279,5.495166269853115,True,False
12,5500,5504.727997229854,5504.727997229854,5517.518696075546,5517.518696075546,17.51869607554636,12.790698845692221,4.727997229854138,True,False
13,6000,6005.934650972269,6005.934650972269,6024.385600357258,6024.385600357258,24.385600357258227,18.45094938498919,5.934650972269036,True,False
14,6500,6504.433396416829,6504.433396416829,6521.759164310804,6521.759164310804,21.759164310804408,17.3257678939757,4.433396416828707,True,False
15,7000,7004.495637290613,7004.495637290613,7028.093350416706,7028.093350416706,28.093350416706016,23.597713126093552,4.495637290612464,True,False
16,7500,7505.54881386213,7505.54881386213,7533.178489528045,7533.178489528045,33.17848952804525,27.629675665915066,5.5488138621301815,True,False
17,8000,8004.135964141352,8004.135964141352,8033.3031325427755,8033.3031325427755,33.30313254277553,29.167168401423385,4.135964141352144,True,False
18,8500,8505.035921037696,8505.035921037696,8531.584548682875,8531.584548682875,31.58454868287481,26.54862764517959,5.035921037695221,True,False
19,9000,9004.547231728384,9004.547231728384,9045.818497800867,9045.818497800867,45.81849780086668,41.27126607248238,4.547231728384297,True,False
20,9500,9504.427864338553,9504.427864338553,9527.731655189164,9527.731655189164,27.731655189163575,23.303790850611197,4.427864338552379,True,False
21,10000,10005.95922402666,10005.95922402666,10028.215150809525,10028.215150809525,28.215150809524857,22.25592678286533,5.959224026659527,True,False
22,10500,10504.616254017696,10504.616254017696,10543.770573382633,10543.770573382633,43.7705733826333,39.15431936493725,4.6162540176960505,True,False
23,11000,11005.247963370026,11005.247963370026,11026.077992545223,11026.077992545223,26.077992545222514,20.830029175196817,5.247963370025698,True,False
24,11500,11504.96792561913,11504.96792561913,11528.257156432786,11528.257156432786,28.25715643278636,23.289230813655266,4.967925619131094,True,False
25,12000,12005.082931372639,12005.082931372639,12023.44337115785,12023.44337115785,23.44337115784947,18.36043978521051,5.08293137263896,True,False
26,12500,12505.577164918897,12505.577164918897,12544.18869677395,12544.18869677395,44.18869677395014,38.61153185505369,5.57716491889645,True,False
27,13000,13005.01539843499,13005.01539843499,13032.093565028224,13032.093565028224,32.093565028224475,27.078166593233846,5.0153984349906295,True,False
28,13500,13505.010233755627,13505.010233755627,13548.107428615838,13548.107428615838,48.10742861583822,43.09719486021184,5.010233755626373,True,False
29,14000,14005.492568249905,14005.492568249905,14031.913950700493,14031.913950700493,31.913950700492933,26.421382450587803,5.49256824990513,True,False
30,14500,14505.758613411705,14505.758613411705,14553.298967989644,14553.298967989644,53.29896798964364,47.54035457793974,5.758613411703905,True,False
31,15000,15004.59119130625,15004.59119130625,15037.891901525843,15037.891901525843,37.89190152584342,33.300710219592986,4.591191306250437,True,False
32,15500,15505.36215264851,15505.36215264851,15533.169955474692,15533.169955474692,33.16995547469196,27.807802826181923,5.362152648510037,True,False
33,16000,16004.47683077565,16004.47683077565,16026.830764127035,16026.830764127035,26.830764127034854,22.35393335138508,4.476830775649773,True,False
34,16500,16504.224393109398,16504.224393109398,16526.060779684358,16526.060779684358,26.06077968435784,21.83638657496091,4.224393109396932,True,False
35,17000,17005.247077105414,17005.247077105414,17032.54332703313,17032.54332703313,32.54332703313048,27.29624992771766,5.247077105412821,True,False
36,17500,17504.656393117803,17504.656393117803,17523.988634243,17523.988634243,23.98863424299998,19.332241125198816,4.656393117801162,True,False
37,18000,18004.14916788879,18004.14916788879,18033.32981162639,18033.32981162639,33.32981162639044,29.18064373760017,4.1491678887902665,True,False
38,18500,18505.683152497564,18505.683152497564,18542.03853268903,18542.03853268903,42.038532689028216,36.355380191463304,5.683152497564912,True,False
39,19000,19005.43537029704,19005.43537029704,19037.523550410362,19037.523550410362,37.52355041036208,32.08818011332324,5.435370297038837,True,False
40,19500,19505.103089366472,19505.103089366472,19532.49571780364,19532.49571780364,32.4957178036384,27.392628437164745,5.103089366473654,True,False
41,20000,20005.574946239598,20005.574946239598,20067.185386058332,20067.185386058332,67.18538605833237,61.61043981873398,5.57494623959839,True,True
42,20500,20504.20420924769,20504.20420924769,20569.4610432667,20569.4610432667,69.46104326669956,65.25683401900736,4.204209247692205,True,True
43,21000,21005.94576556205,21005.94576556205,21119.31149843813,21119.31149843813,119.31149843812818,113.36573287607848,5.945765562049701,True,True
44,21500,21505.115609428813,21505.115609428813,21609.834884810527,21609.834884810527,109.834884810527,104.71927538171505,5.1156094288119505,True,True
45,22000,22005.927916579516,22005.927916579516,22098.29098526297,22098.29098526297,98.29098526297093,92.36306868345535,5.927916579515582,True,True
46,22500,22505.201679234357,22505.201679234357,22590.031286829235,22590.031286829235,90.03128682923489,84.82960759487956,5.201679234355325,True,True
47,23000,23004.244270488547,23004.244270488547,23077.811819520102,23077.811819520102,77.81181952010229,73.56754903155506,4.2442704885472295,True,True
48,23500,23504.56452487834,23504.56452487834,23599.993339382247,23599.993339382247,99.99333938224663,95.42881450390752,4.564524878339114,True,True
49,24000,24005.85121715888,24005.85121715888,24083.109428440373,24083.109428440373,83.10942844037345,77.25821128149366,5.851217158879791,True,True
50,24500,24505.065764561114,24505.065764561114,24624.72236077179,24624.72236077179,124.72236077178968,119.65659621067752,5.065764561112161,True,True
51,25000,25005.106837386338,25005.106837386338,25053.78626249886,25053.78626249886,53.78626249885929,48.67942511252226,5.106837386337027,True,True
