task,scheduled_us,start_us,latency_us,exec_us
Sensor,1767954730212042,1767954730871561,659519,2003
Sensor,1767954730412042,1767954731082575,670533,2005
Sensor,1767954730612042,1767954731291767,679725,2006
Sensor,1767954730812042,1767954731499601,687559,2002
Sensor,1767954731012042,1767954731708184,696142,2002
Sensor,1767954731212042,1767954731949922,737880,2002
Sensor,1767954731412042,1767954732156332,744290,2006
Sensor,1767954731612042,1767954732361560,749518,2001
Sensor,1767954731812042,1767954732568865,756823,2002
Sensor,1767954732012042,1767954732775855,763813,2002
Sensor,1767954732212042,1767954732989386,777344,2003
Sensor,1767954732412042,1767954733199174,787132,2003
Sensor,1767954732612042,1767954733408286,796244,2004
Sensor,1767954732812042,1767954733616922,804880,2003
Sensor,1767954733012042,1767954733825087,813045,2005
Sensor,1767954733212042,1767954734039314,827272,2000
Sensor,1767954733412042,1767954734248230,836188,2004
Sensor,1767954733612042,1767954734456198,844156,2003
Sensor,1767954733812042,1767954734664622,852580,2003
Sensor,1767954734012042,1767954734872715,860673,2004
Sensor,1767954734212042,1767954735085787,873745,2002
Sensor,1767954734412042,1767954735295088,883046,2005
Sensor,1767954734612042,1767954735504856,892814,2002
Sensor,1767954734812042,1767954735711832,899790,2002
Sensor,1767954735012042,1767954735917889,905847,2002
Sensor,1767954735212042,1767954736131777,919735,2002
Sensor,1767954735412042,1767954736341060,929018,16002
Sensor,1767954735612042,1767954736563858,951816,16009
Sensor,1767954735812042,1767954736785897,973855,16004
Sensor,1767954736012042,1767954737008038,995996,16003
Sensor,1767954736212042,1767954737271410,1059368,16000
Sensor,1767954736412042,1767954737499467,1087425,16004
Sensor,1767954736612042,1767954737721693,1109651,16004
Sensor,1767954736812042,1767954737945557,1133515,16002
Sensor,1767954737012042,1767954738168135,1156093,16002
Sensor,1767954737212042,1767954738430019,1217977,16001
Sensor,1767954737412042,1767954738660562,1248520,16004
Sensor,1767954737612042,1767954738882119,1270077,16003
Sensor,1767954737812042,1767954739104938,1292896,16003
Sensor,1767954738012042,1767954739327710,1315668,16002
Sensor,1767954738212042,1767954739590891,1378849,16003
Sensor,1767954738412042,1767954739820562,1408520,16005
Sensor,1767954738612042,1767954740043318,1431276,16037
Sensor,1767954738812042,1767954740267747,1455705,16005
Sensor,1767954739012042,1767954740490817,1478775,16003
Sensor,1767954739212042,1767954740752945,1540903,16000
Sensor,1767954739412042,1767954740983629,1571587,16003
Sensor,1767954739612042,1767954741205822,1593780,16005
