task_id,t1,t2,t5,response_ms,db_time_ms,non_db_time_ms,deadline_hit,buffer_depth,in_burst
1,0,5.460592544821705,5.460592544821705,5.460592544821705,0,5.460592544821705,True,1,False
2,500,505.14655091205185,505.14655091205185,5.1465509120518504,0,5.1465509120518504,True,2,False
3,1000,1005.4490182874157,1005.4490182874157,5.449018287415697,0,5.449018287415697,True,3,False
4,1500,1505.5610433624736,1505.5610433624736,5.561043362473583,0,5.561043362473583,True,4,False
5,2000,2005.2320577398198,2005.2320577398198,5.232057739819766,0,5.232057739819766,True,5,False
6,2500,2504.2267346985495,2504.2267346985495,4.226734698549535,0,4.226734698549535,True,6,False
7,3000,3005.0778313320925,3005.0778313320925,5.077831332092501,0,5.077831332092501,True,7,False
8,3500,3504.8419744868697,3504.8419744868697,4.841974486869731,0,4.841974486869731,True,8,False
9,4000,4005.710425155997,4005.710425155997,5.7104251559972,0,5.7104251559972,True,9,False
10,4500,4504.39770298389,4504.39770298389,4.397702983889758,0,4.397702983889758,True,10,False
11,5000,5005.853120918469,5005.853120918469,5.853120918469358,0,5.853120918469358,True,1,False
12,5500,5504.1115371968435,5504.1115371968435,4.111537196843528,0,4.111537196843528,True,2,False
13,6000,6004.705253659916,6004.705253659916,4.7052536599157975,0,4.7052536599157975,True,3,False
14,6500,6505.689921543857,6505.689921543857,5.689921543857054,0,5.689921543857054,True,4,False
15,7000,7004.374249746013,7004.374249746013,4.374249746013447,0,4.374249746013447,True,5,False
16,7500,7504.424392699589,7504.424392699589,4.4243926995886795,0,4.4243926995886795,True,6,False
17,8000,8004.40253580611,8004.40253580611,4.402535806109881,0,4.402535806109881,True,7,False
18,8500,8504.100321329171,8504.100321329171,4.100321329171493,0,4.100321329171493,True,8,False
19,9000,9004.063815676303,9004.063815676303,4.06381567630342,0,4.06381567630342,True,9,False
20,9500,9504.298471991657,9504.298471991657,4.298471991656697,0,4.298471991656697,True,10,False
21,10000,10005.069726436617,10005.069726436617,5.069726436617202,0,5.069726436617202,True,1,False
22,10500,10505.810165390134,10505.810165390134,5.810165390133989,0,5.810165390133989,True,2,False
23,11000,11005.257971071527,11005.257971071527,5.2579710715272086,0,5.2579710715272086,True,3,False
24,11500,11504.968802293886,11504.968802293886,4.968802293886256,0,4.968802293886256,True,4,False
25,12000,12005.739876248263,12005.739876248263,5.73987624826259,0,5.73987624826259,True,5,False
26,12500,12504.836790491858,12504.836790491858,4.836790491857755,0,4.836790491857755,True,6,False
27,13000,13004.314408058312,13004.314408058312,4.314408058311528,0,4.314408058311528,True,7,False
28,13500,13505.827251621939,13505.827251621939,5.827251621938558,0,5.827251621938558,True,8,False
29,14000,14005.716955414464,14005.716955414464,5.716955414463882,0,5.716955414463882,True,9,False
30,14500,14504.72615046355,14504.72615046355,4.726150463549857,0,4.726150463549857,True,10,False
31,15000,15005.66113870302,15005.66113870302,5.661138703020697,0,5.661138703020697,True,1,False
32,15500,15505.280919798466,15505.280919798466,5.28091979846613,0,5.28091979846613,True,2,False
33,16000,16004.567121825588,16004.567121825588,4.567121825588401,0,4.567121825588401,True,3,False
34,16500,16504.80607115216,16504.80607115216,4.8060711521611665,0,4.8060711521611665,True,4,False
35,17000,17004.310970607323,17004.310970607323,4.310970607322815,0,4.310970607322815,True,5,False
36,17500,17504.121187206023,17504.121187206023,4.1211872060230235,0,4.1211872060230235,True,6,False
37,18000,18005.956433999232,18005.956433999232,5.956433999232104,0,5.956433999232104,True,7,False
38,18500,18505.243881774793,18505.243881774793,5.243881774793408,0,5.243881774793408,True,8,False
39,19000,19004.28990049798,19004.28990049798,4.289900497980852,0,4.289900497980852,True,9,False
40,19500,19504.381554789215,19504.381554789215,4.381554789215443,0,4.381554789215443,True,10,False
41,20000,20004.03371897796,20004.03371897796,4.033718977960234,0,4.033718977960234,True,1,True
42,20500,20504.65226058591,20504.65226058591,4.652260585909971,0,4.652260585909971,True,2,True
43,21000,21004.348399433246,21004.348399433246,4.348399433245504,0,4.348399433245504,True,3,True
44,21500,21505.08124414087,21505.08124414087,5.0812441408706945,0,5.0812441408706945,True,4,True
45,22000,22004.530115926176,22004.530115926176,4.530115926176222,0,4.530115926176222,True,5,True
46,22500,22505.66570159341,22505.66570159341,5.665701593410631,0,5.665701593410631,True,6,True
47,23000,23005.619926877713,23005.619926877713,5.6199268777127145,0,5.6199268777127145,True,7,True
48,23500,23505.368178392888,23505.368178392888,5.368178392887785,0,5.368178392887785,True,8,True
49,24000,24004.409035785797,24004.409035785797,4.409035785796732,0,4.409035785796732,True,9,True
50,24500,24505.334576976627,24505.334576976627,5.334576976627432,0,5.334576976627432,True,10,True
51,25000,25004.152677835853,25004.152677835853,4.1526778358529555,0,4.1526778358529555,True,1,True
52,25500,25504.975735989952,25504.975735989952,4.975735989952227,0,4.975735989952227,True,2,True
53,26000,26004.260965881353,26004.260965881353,4.260965881352604,0,4.260965881352604,True,3,True
54,26500,26504.75478058183,26504.75478058183,4.754780581828527,0,4.754780581828527,True,4,True
55,27000,27005.871516080217,27005.871516080217,5.871516080216679,0,5.871516080216679,True,5,True
56,27500,27505.36474425818,27505.36474425818,5.364744258178689,0,5.364744258178689,True,6,True
57,28000,28004.956800768145,28004.956800768145,4.956800768144603,0,4.956800768144603,True,7,True
58,28500,28504.911364772375,28504.911364772375,4.9113647723752365,0,4.9113647723752365,True,8,True
59,29000,29004.37370975004,29004.37370975004,4.3737097500415985,0,4.3737097500415985,True,9,True
60,29500,29505.10131804413,29505.10131804413,5.1013180441295845,0,5.1013180441295845,True,10,True
