seq,t1_us,enqueue_us,tx_start_us,tx_end_us,srv_recv_us,ack_recv_us,rtt_us
73,1768313519599790,1768313519599791,1768313519599793,1768313519599980,1768313519650788,1768313519651095,51302
74,1768313519661618,1768313519661620,1768313519661621,1768313519661845,1768313519712602,1768313519712723,51102
75,1768313519723100,1768313519723101,1768313519723102,1768313519723251,1768313519773951,1768313519774230,51128
76,1768313519784734,1768313519784736,1768313519784737,1768313519784922,,,
77,1768313519895367,1768313519895368,1768313519895369,1768313519895540,1768313519946128,1768313519946355,50986
78,1768313519956883,1768313519956885,1768313519956886,1768313519957066,1768313520007436,1768313520007743,50857
79,1768313520018100,1768313520018101,1768313520018103,1768313520018284,1768313520069069,1768313520069358,51255
80,1768313520080176,1768313520080177,1768313520080178,1768313520080363,1768313520130680,1768313520130947,50769
81,1768313520141618,1768313520141619,1768313520141620,1768313520141751,1768313520192074,1768313520192210,50590
82,1768313520202449,1768313520202450,1768313520202450,1768313520202510,1768313520253201,1768313520253329,50879
83,1768313520263625,1768313520263626,1768313520263626,1768313520263708,1768313520314476,1768313520314760,51134
84,1768313520325236,1768313520325237,1768313520325238,1768313520325413,1768313520375924,1768313520376189,50951
85,1768313520386548,1768313520386551,1768313520386552,1768313520386705,,,
86,1768313520504441,1768313520504441,1768313520504442,1768313520504503,1768313520554779,1768313520554878,50436
87,1768313520565084,1768313520565085,1768313520565085,1768313520565225,,,
88,1768313520690077,1768313520690079,1768313520690080,1768313520690253,,,
89,1768313520805875,1768313520805876,1768313520805878,1768313520806058,1768313520856891,1768313520857182,51304
90,1768313520867651,1768313520867652,1768313520867653,1768313520867828,,,
91,1768313520990870,1768313520990871,1768313520990872,1768313520991063,1768313521041746,1768313521041993,51121
92,1768313521052539,1768313521052541,1768313521052542,1768313521052718,1768313521103295,1768313521103577,51035
93,1768313521114063,1768313521114065,1768313521114066,1768313521114255,1768313521165113,1768313521165469,51403
94,1768313521175952,1768313521175953,1768313521175955,1768313521176143,1768313521226938,1768313521227210,51255
95,1768313521237656,1768313521237657,1768313521237657,1768313521237737,1768313521288417,1768313521288702,51045
96,1768313521299160,1768313521299162,1768313521299162,1768313521299334,1768313521349930,1768313521350247,51085
97,1768313521360806,1768313521360808,1768313521360809,1768313521361023,1768313521411519,1768313521411816,51007
98,1768313521422291,1768313521422293,1768313521422294,1768313521422475,1768313521473087,1768313521473289,50995
99,1768313521483684,1768313521483686,1768313521483687,1768313521483869,1768313521534477,1768313521534767,51080
100,1768313521545248,1768313521545250,1768313521545251,1768313521545429,,,
101,1768313521661665,1768313521661667,1768313521661668,1768313521661855,1768313521712429,1768313521712771,51103
102,1768313521723281,1768313521723283,1768313521723285,1768313521723472,1768313521774036,1768313521774358,51073
103,1768313521784965,1768313521784967,1768313521784968,1768313521785164,1768313521835760,1768313521836066,51098
104,1768313521846542,1768313521846544,1768313521846545,1768313521846727,1768313521897056,1768313521897370,50825
105,1768313521907794,1768313521907796,1768313521907797,1768313521907988,1768313521958494,1768313521958812,51015
106,1768313521969353,1768313521969355,1768313521969356,1768313521969535,1768313522020271,1768313522020572,51216
107,1768313522031051,1768313522031053,1768313522031054,1768313522031234,1768313522081933,1768313522082234,51180
108,1768313522092706,1768313522092707,1768313522092708,1768313522092890,1768313522143664,1768313522143959,51251
109,1768313522154384,1768313522154385,1768313522154387,1768313522154579,1768313522205115,1768313522205431,51044
110,1768313522215913,1768313522215915,1768313522215916,1768313522216104,1768313522266921,1768313522267230,51314
111,1768313522278049,1768313522278051,1768313522278052,1768313522278257,1768313522328717,1768313522329024,50972
112,1768313522339468,1768313522339470,1768313522339471,1768313522339662,1768313522390226,1768313522390402,50931
113,1768313522400630,1768313522400633,1768313522400634,1768313522400744,1768313522450908,1768313522451025,50391
114,1768313522461735,1768313522461735,1768313522461736,1768313522461800,1768313522512012,1768313522512139,50403
115,1768313522522307,1768313522522307,1768313522522308,1768313522522389,,,
